M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.8554,0.5698318481445312,0.01771092414855957,28231.16376119001
8,100,100,0.9098,0.5698318481445312,0.022580862045288086,22142.644465795947
8,100,200,0.9318,0.5698318481445312,0.040606021881103516,12313.444578836737
8,200,50,0.8814,1.1872782707214355,0.011951208114624023,41836.77459253496
8,200,100,0.9324,1.1872782707214355,0.019507884979248047,25630.6616802327
8,200,200,0.9382,1.1872782707214355,0.036923885345458984,13541.3701814425
16,100,50,0.9038,0.8185548782348633,0.015146970748901367,33009.900678408965
16,100,100,0.932,0.8185548782348633,0.025999069213867188,19231.45770669797
16,100,200,0.9454,0.8185548782348633,0.044715166091918945,11181.88846648076
16,200,50,0.9248,1.5307152271270752,0.017603158950805664,28403.992794549864
16,200,100,0.9466,1.5307152271270752,0.03062915802001953,16324.314226110782
16,200,200,0.9542,1.5307152271270752,0.04996991157531738,10006.021308370191
32,100,50,0.9208,0.9067840576171875,0.017873048782348633,27975.08170479557
32,100,100,0.9366,0.9067840576171875,0.030668020248413086,16303.628207819265
32,100,200,0.943,0.9067840576171875,0.05175018310546875,9661.801562730356
32,200,50,0.9358,1.811396837234497,0.025828123092651367,19358.743111390093
32,200,100,0.9516,1.811396837234497,0.0464787483215332,10757.604670011182
32,200,200,0.9534,1.811396837234497,0.06952500343322754,7191.657321961942
