M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.9964,0.0029349327087402344,0.0036699771881103516,136240.6288572728
8,100,100,0.9978,0.0029349327087402344,0.003973960876464844,125819.05447564195
8,100,200,0.9974,0.0029349327087402344,0.004675149917602539,106948.44204191952
8,200,50,0.9936,0.003081083297729492,0.003412008285522461,146541.2619663196
8,200,100,0.9982,0.003081083297729492,0.0046558380126953125,107392.0524375256
8,200,200,0.9964,0.003081083297729492,0.004724264144897461,105836.58844309866
16,100,50,0.9996,0.003301858901977539,0.003634214401245117,137581.316013908
16,100,100,0.9974,0.003301858901977539,0.004593849182128906,108841.18746107536
16,100,200,0.9964,0.003301858901977539,0.004630088806152344,107989.289392379
16,200,50,0.998,0.003692150115966797,0.0040209293365478516,124349.36258523569
16,200,100,0.9996,0.003692150115966797,0.004644155502319336,107662.20031829149
16,200,200,0.9974,0.003692150115966797,0.0057220458984375,87381.33333333333
32,100,50,1.0,0.0038979053497314453,0.0036580562591552734,136684.6118751222
32,100,100,0.9974,0.0038979053497314453,0.0047817230224609375,104564.81850817711
32,100,200,0.9974,0.0038979053497314453,0.005337238311767578,93681.40802287144
32,200,50,0.9974,0.0043909549713134766,0.003403902053833008,146890.24304825944
32,200,100,0.9974,0.0043909549713134766,0.0040819644927978516,122490.04146954033
32,200,200,0.9978,0.0043909549713134766,0.0051691532135009766,96727.64171394309
